"grammar","chunk_size","chunk_id","chunk_range","control_sum","chunk_time","chunk_mem_mb"
"g1",16,346,"5536 5551",2,0.030502523,8
"g1",16,347,"5552 5567",2,0.028744275,10
"g1",16,348,"5568 5583",1,0.031851816,0
"g1",16,349,"5584 5599",3,0.029502835,9
"g1",16,350,"5600 5615",5,0.030619866,8
"g1",16,351,"5616 5631",4,0.031313521999999996,7
"g1",16,352,"5632 5647",4,0.030586046,6
"g1",16,353,"5648 5663",3,0.029999904999999997,11
"g1",16,354,"5664 5679",1,0.032357721,10
"g1",16,355,"5680 5695",2,0.032425789999999996,2
"g1",16,356,"5696 5711",2,0.031856255,7
"g1",16,357,"5712 5727",2,0.030112787000000002,11
"g1",16,358,"5728 5743",1,0.027664683,11
"g1",16,359,"5744 5759",2,0.028023208,6
"g1",16,360,"5760 5775",0,0.028752975,11
"g1",16,361,"5776 5791",1,0.03050645,4
"g1",16,362,"5792 5807",1,0.029796061999999998,6
"g1",16,363,"5808 5823",1,0.028311129,14
"g1",16,364,"5824 5839",2,0.03168794,9
"g1",16,365,"5840 5855",2,0.029925247,8
"g1",16,366,"5856 5871",4,0.032414239000000004,1
"g1",16,367,"5872 5887",1,0.029167258,8
"g1",16,368,"5888 5903",4,0.031485337,10
"g1",16,369,"5904 5919",2,0.029597083,7
"g1",16,370,"5920 5935",2,0.031838214000000004,5
"g1",16,371,"5936 5951",0,0.026548047,9
"g1",16,372,"5952 5967",4,0.027320469,7
"g1",16,373,"5968 5983",1,0.028387121,4
"g1",16,374,"5984 5999",2,0.028644357,2
"g1",16,375,"6000 6015",2,0.029809608,3
"g1",16,376,"6016 6031",1,0.028883119000000002,6
"g1",16,377,"6032 6047",1,0.03245492,7
"g1",16,378,"6048 6063",4,0.035367989,4
"g1",16,379,"6064 6079",3,0.030971875,12
"g1",16,380,"6080 6095",0,0.026035485,8
"g1",16,381,"6096 6111",0,0.026142185000000002,7
"g1",16,382,"6112 6127",2,0.029127098,15
"g1",16,383,"6128 6143",2,0.030981736000000003,10
"g1",16,384,"6144 6159",3,0.032582147,-3
"g1",16,385,"6160 6175",0,0.027132161,3
"g1",16,386,"6176 6191",1,0.030225304999999997,7
"g1",16,387,"6192 6207",4,0.029686413000000002,8
"g1",16,388,"6208 6223",1,0.028805953,11
"g1",16,389,"6224 6237",1,0.02861648,6
"g1",32,0,"0 31",5,0.045249364,18
"g1",32,1,"32 63",2,0.038925275,26
"g1",32,2,"64 95",7,0.027843535,25
"g1",32,3,"96 127",3,0.029557292,24
"g1",32,4,"128 159",0,0.028275995999999998,5
"g1",32,5,"160 191",5,0.030777146999999998,13
"g1",32,6,"192 223",2,0.030016097999999998,9
"g1",32,7,"224 255",5,0.031539047,4
"g1",32,8,"256 287",3,0.032483132,6
"g1",32,9,"288 319",5,0.031382082,10
"g1",32,10,"320 351",6,0.032591688,6
"g1",32,11,"352 383",6,0.030331306000000002,9
"g1",32,12,"384 415",5,0.03251119,12
"g1",32,13,"416 447",7,0.030538943,4
"g1",32,14,"448 479",2,0.033120291,14
"g1",32,15,"480 511",5,0.032774501,9
"g1",32,16,"512 543",9,0.028455425000000003,10
"g1",32,17,"544 575",3,0.03187585,7
"g1",32,18,"576 607",5,0.029893262,8
"g1",32,19,"608 639",2,0.029784507,10
"g1",32,20,"640 671",4,0.031674163,6
"g1",32,21,"672 703",1,0.027546422,11
"g1",32,22,"704 735",4,0.030902318,8
"g1",32,23,"736 767",2,0.030163404,8
"g1",32,24,"768 799",5,0.030285833,10
"g1",32,25,"800 831",2,0.028933059,8
"g1",32,26,"832 863",3,0.030301545,8
"g1",32,27,"864 895",3,0.029785665000000003,10
"g1",32,28,"896 927",3,0.032989928999999994,7
"g1",32,29,"928 959",6,0.030254173999999998,10
"g1",32,30,"960 991",3,0.033185702,5
"g1",32,31,"992 1023",3,0.028413209999999998,5
"g1",32,32,"1024 1055",0,0.027536124000000002,6
"g1",32,33,"1056 1087",5,0.031314111,8
"g1",32,34,"1088 1119",5,0.030662142,7
"g1",32,35,"1120 1151",7,0.029280264,6
"g1",32,36,"1152 1183",8,0.029731159,8
"g1",32,37,"1184 1215",4,0.031630474,8
"g1",32,38,"1216 1247",4,0.030737636,10
"g1",32,39,"1248 1279",6,0.031022839,7
"g1",32,40,"1280 1311",5,0.029966935,0
"g1",32,41,"1312 1343",5,0.034148511,2
"g1",32,42,"1344 1375",4,0.031038086,10
"g1",32,43,"1376 1407",3,0.030869786,9
"g1",32,44,"1408 1439",3,0.030834254000000002,6
"g1",32,45,"1440 1471",3,0.031487858,10
"g1",32,46,"1472 1503",5,0.034001861,9
"g1",32,47,"1504 1535",4,0.032452637,8
"g1",32,48,"1536 1567",8,0.033820077,7
"g1",32,49,"1568 1599",3,0.030304625,2
"g1",32,50,"1600 1631",3,0.034078524,8
"g1",32,51,"1632 1663",5,0.031606439,4
