"grammar","chunk_size","chunk_id","chunk_range","control_sum","chunk_time","chunk_mem_mb"
"g1",16,455,"7280 7295",0,0.17057066,21
"g1",16,456,"7296 7311",7,0.439365362,32
"g1",16,457,"7312 7327",3,0.247009638,5
"g1",16,458,"7328 7343",19,0.9026802159999999,-1
"g1",16,459,"7344 7359",8,0.459689295,-7
"g1",16,460,"7360 7375",5,0.383008022,8
"g1",16,461,"7376 7391",12,0.349283116,35
"g1",16,462,"7392 7407",2,0.279342838,-17
"g1",16,463,"7408 7423",35,0.6763145960000001,16
"g1",16,464,"7424 7439",15,0.35261565899999997,1
"g1",16,465,"7440 7455",19,0.36176586,-12
"g1",16,466,"7456 7471",6,0.27275594599999997,8
"g1",16,467,"7472 7487",19,0.415949862,-9
"g1",16,468,"7488 7503",1,0.32934080699999996,-8
"g1",16,469,"7504 7519",4,0.372297882,18
"g1",16,470,"7520 7535",4,0.23575121100000002,9
"g1",16,471,"7536 7551",7,0.278019686,15
"g1",16,472,"7552 7567",28,0.511189905,14
"g1",16,473,"7568 7583",20,0.545250378,-3
"g1",16,474,"7584 7599",158,1.3341102699999998,12
"g1",16,475,"7600 7615",0,0.188122418,-9
"g1",16,476,"7616 7631",15,0.425983062,-24
"g1",16,477,"7632 7647",12,0.359458087,20
"g1",16,478,"7648 7663",7,0.331598763,12
"g1",16,479,"7664 7679",8,0.263926168,-2
"g1",16,480,"7680 7695",9,0.348035692,10
"g1",16,481,"7696 7711",3,0.28711516,38
"g1",16,482,"7712 7727",8,0.324239056,6
"g1",16,483,"7728 7743",3,0.279522255,9
"g1",16,484,"7744 7759",1,0.262296853,3
"g1",16,485,"7760 7775",13,0.679634379,21
"g1",16,486,"7776 7791",0,0.171951469,29
"g1",16,487,"7792 7807",71,0.89265672,30
"g1",16,488,"7808 7823",0,0.168305219,39
"g1",16,489,"7824 7839",11,0.35824233,11
"g1",16,490,"7840 7855",0,0.182478759,-6
"g1",16,491,"7856 7871",0,0.18514612600000002,23
"g1",16,492,"7872 7887",7,0.31862419599999997,1
"g1",16,493,"7888 7903",9,0.237213267,0
"g1",16,494,"7904 7919",46,0.7764197500000001,28
"g1",16,495,"7920 7935",2,0.241017308,9
"g1",16,496,"7936 7951",10,0.41691933,9
"g1",16,497,"7952 7967",5,0.246881498,-8
"g1",16,498,"7968 7983",4,0.345249148,18
"g1",16,499,"7984 7999",2,0.24769762,-10
"g1",16,500,"8000 8015",259,0.803700468,27
"g1",16,501,"8016 8031",46,0.804059184,-36
"g1",16,502,"8032 8047",4,0.287273821,20
"g1",16,503,"8048 8063",2,0.270765693,34
"g1",16,504,"8064 8079","",""
"g1",16,505,"8080 8095",18,0.543465103,32
"g1",16,506,"8096 8111",4,0.387579498,54
"g1",16,507,"8112 8127",2,0.28230948499999997,4
"g1",16,508,"8128 8143",0,0.18634492,7
"g1",16,509,"8144 8159",5,0.337330067,16
"g1",16,510,"8160 8175",0,0.202127467,33
"g1",16,511,"8176 8191",10,0.5006199960000001,24
"g1",16,512,"8192 8207",16,0.263022833,-2
"g1",16,513,"8208 8223",0,0.145164087,-11
"g1",16,514,"8224 8239",0,0.200627364,28
"g1",16,515,"8240 8255",0,0.172516352,3
"g1",16,516,"8256 8271",4,0.263071277,6
"g1",16,517,"8272 8287",3,0.264551103,6
"g1",16,518,"8288 8303",17,0.36210591,8
"g1",16,519,"8304 8319",12,0.367066803,19
"g1",16,520,"8320 8335",16,0.343472398,14
"g1",16,521,"8336 8351",0,0.237358909,3
"g1",16,522,"8352 8367",2,0.259834089,38
"g1",16,523,"8368 8383",0,0.166180564,12
"g1",16,524,"8384 8399",11,0.338653968,-10
"g1",16,525,"8400 8415",3,0.240915832,10
"g1",16,526,"8416 8431",2,0.292805066,36
"g1",16,527,"8432 8447",2,0.259724224,-6
"g1",16,528,"8448 8463",15,0.277478843,19
"g1",16,529,"8464 8479",11,0.328998627,9
"g1",16,530,"8480 8495",33,0.82858778,22
"g1",16,531,"8496 8511",30,0.690977282,-29
"g1",16,532,"8512 8527",11,0.493664024,6
"g1",16,533,"8528 8543",0,0.224444218,38
"g1",16,534,"8544 8559",0,0.193578869,-28
