"grammar","algo","chunk_size","chunk_id","chunk_time"
"geo","SingleSourceAlgoOpt",64,10,0.0007092952728271484
"geo","SingleSourceAlgoOpt",64,11,0.0006730556488037109
"geo","SingleSourceAlgoOpt",64,12,0.0006759166717529297
"geo","SingleSourceAlgoOpt",64,13,0.0006887912750244141
"geo","SingleSourceAlgoOpt",64,14,0.0006735324859619141
"geo","SingleSourceAlgoOpt",64,15,0.0006694793701171875
"geo","SingleSourceAlgoOpt",64,16,0.0006704330444335938
"geo","SingleSourceAlgoOpt",64,17,0.0006723403930664062
"geo","SingleSourceAlgoOpt",64,18,0.0006690025329589844
"geo","SingleSourceAlgoOpt",64,19,0.0006875991821289062
"geo","SingleSourceAlgoOpt",64,20,0.00052642822265625
"geo","SingleSourceAlgoOpt",100,0,0.0011265277862548828
"geo","SingleSourceAlgoOpt",100,1,0.001024007797241211
"geo","SingleSourceAlgoOpt",100,2,0.0010187625885009766
"geo","SingleSourceAlgoOpt",100,3,0.0009732246398925781
"geo","SingleSourceAlgoOpt",100,4,0.0009758472442626953
"geo","SingleSourceAlgoOpt",100,5,0.0010323524475097656
"geo","SingleSourceAlgoOpt",100,6,0.0009884834289550781
"geo","SingleSourceAlgoOpt",100,7,0.0010190010070800781
"geo","SingleSourceAlgoOpt",100,8,0.0009870529174804688
"geo","SingleSourceAlgoOpt",100,9,0.0009756088256835938
"geo","SingleSourceAlgoOpt",100,10,0.0009734630584716797
"geo","SingleSourceAlgoOpt",100,11,0.0009737014770507812
"geo","SingleSourceAlgoOpt",100,12,0.0009853839874267578
"geo","SingleSourceAlgoOpt",100,13,0.00034689903259277344
"geo","SingleSourceAlgoOpt",500,0,0.004834890365600586
"geo","SingleSourceAlgoOpt",500,1,0.004509449005126953
"geo","SingleSourceAlgoOpt",500,2,0.0030536651611328125
"geo","SingleSourceAlgoOpt",1000,0,0.009936332702636719
"geo","SingleSourceAlgoOpt",1000,1,0.003002166748046875
"geo","SingleSourceAlgoOpt",5000,0,0.013493061065673828
"geo","SingleSourceAlgoOpt",10000,0,0.012812137603759766
"geo","SingleSourceAlgoOpt",1323,0,0.011258840560913086
"g1","SingleSourceAlgoOpt",32,0,0.016055822372436523
"g1","SingleSourceAlgoOpt",32,1,0.003658771514892578
